,회차,댓글
0,1,내새끼가 남한테 아무 이유 없이 맞고다니는 모습 보면 엄마는 가슴이 얼마나 아플까
0,1,어머님이 너무 안타깝다....ㅠㅠ
0,1,이게 드뎌 나왓구나
0,1,마음아파서 못보겠다
0,1,자자 위로 모십시다
0,1,오셧군요 길터드리겠습니다 올라오시죠
0,1,드뎌나옴ㅋㄱ베스트부터봐오던 독자좋아요
0,1,형님 오셨다 워프게이트 준비해라
0,1,드디어오셧네요올려드리겟습니디!
0,1,오 드디어 나왔다!
0,1,와....나 베도때부터봤는대 네이버 웹툰떠서 정말 춤추고날리났었는데....남주야...빨리 머싯어지는게 나왔으면 해....ㅜㅜ기다리는게얼마나힘든줄알아?ㅜㅜㅜ
0,1,"진짜 솔직히 말해서 1화가 제일 좋았음 그리고 스토리 약간 산으로...?가는 듯해도 관심종자편까지는 좋다고 생각했는데 요즘 스토리 너무 자극적이고 일진미화가 심하네요..ㅜ 과거편 푸는거는 그렇다치고 수정이는 어떤 존재인지 또 재열이는 어떤 관계인지 뚱뚱한 형석이가 정말 정신차리고 노력하는것, 잘생긴 형석이가 생긴 떡밥 등등을 기대했지만....쉬어가는 에피소드가 있을수는 있는데 요즘 에피소드들은 외모지상주의라는 틀이라는 것에 별로 중요하지 않은 내용들 같아요. 정말 외모지상주의라면 잘생긴 형석이보다는 뚱뚱한 형석이의 초점에 맞춰서 스토리를 진행하는것이 더 좋지 않을까요?? 그리고 일진미화에 대해서도 정말 이 정도면 초등학생들에게 영향을 끼칠 가능성도 있어요. 그전부터 살짝살짝 있긴 했는데 요즘은 너무 정도를 넘어선듯한...암튼 그래서 결론->태성이 소년원보내고 형석이 꽃길좀ㅅ"
0,1,46화 귀향보고 다시보러 온사람 손
0,1,이태성 보러 온사람 추천
0,1,이 웹툰 취지가 외모로 차별받는 현실을 비판하려고 하는거였는데 일진이였던 이진성(잘생김)은 현재 로멘티스트 복서가 됐고 왕따였던 박지호(못생김)는 현재 범죄자가 됐다 잘생긴 박형석은 학교에 최고 인기남이 돼고 양아치사기꾼 때려잡고 sns일진 때려잡고 모델하면서 sns스타+대형기획사 연습생도 하고 최고의 10대를 보내는데 뚱뚱한 박형석은 누구한테나 처맞고 다니고 현재는 노숙자다 뚱뚱하고 키작고 못생기면 노숙자or범죄자가 되고 잘생기고 키크면 아무리 양아치라도 미화되고 최고의 인생을 산다 이게 이 웹툰의 취지임
0,2,세상에 하나뿐인 내편에 돌을던지고.. 이 말이 참 너무 슬프네요
0,2,박태준 작가님은 아보키 브랜드웹툰 보세왕에 나오셨던 분이고 우리가 아는 그 얼짱 박태준이 맞습니다. 작가님 베도때부터 이미 업로드한 화에 분량을 추가 하실정도로 정말 작업 성실히 하셨으니 앞으로도 쭉 좋은 결과 있으실 거에요!!!!!!!!!!!
