회차	댓글
1	내새끼가 남한테 아무 이유 없이 맞고다니는 모습 보면 엄마는 가슴이 얼마나 아플까
1	어머님이 너무 안타깝다....ㅠㅠ
1	이게 드뎌 나왓구나
1	마음아파서 못보겠다
1	자자 위로 모십시다
1	오셧군요 길터드리겠습니다 올라오시죠
1	드뎌나옴ㅋㄱ베스트부터봐오던 독자좋아요
1	형님 오셨다 워프게이트 준비해라
1	드디어오셧네요올려드리겟습니디!
1	오 드디어 나왔다!
1	와....나 베도때부터봤는대 네이버 웹툰떠서 정말 춤추고날리났었는데....남주야...빨리 머싯어지는게 나왔으면 해....ㅜㅜ기다리는게얼마나힘든줄알아?ㅜㅜㅜ
1	진짜 솔직히 말해서 1화가 제일 좋았음 그리고 스토리 약간 산으로...?가는 듯해도 관심종자편까지는 좋다고 생각했는데 요즘 스토리 너무 자극적이고 일진미화가 심하네요..ㅜ 과거편 푸는거는 그렇다치고 수정이는 어떤 존재인지 또 재열이는 어떤 관계인지 뚱뚱한 형석이가 정말 정신차리고 노력하는것, 잘생긴 형석이가 생긴 떡밥 등등을 기대했지만....쉬어가는 에피소드가 있을수는 있는데 요즘 에피소드들은 외모지상주의라는 틀이라는 것에 별로 중요하지 않은 내용들 같아요. 정말 외모지상주의라면 잘생긴 형석이보다는 뚱뚱한 형석이의 초점에 맞춰서 스토리를 진행하는것이 더 좋지 않을까요?? 그리고 일진미화에 대해서도 정말 이 정도면 초등학생들에게 영향을 끼칠 가능성도 있어요. 그전부터 살짝살짝 있긴 했는데 요즘은 너무 정도를 넘어선듯한...암튼 그래서 결론->태성이 소년원보내고 형석이 꽃길좀ㅅ
1	46화 귀향보고 다시보러 온사람 손
1	이태성 보러 온사람 추천
1	이 웹툰 취지가 외모로 차별받는 현실을 비판하려고 하는거였는데 일진이였던 이진성(잘생김)은 현재 로멘티스트 복서가 됐고 왕따였던 박지호(못생김)는 현재 범죄자가 됐다 잘생긴 박형석은 학교에 최고 인기남이 돼고 양아치사기꾼 때려잡고 sns일진 때려잡고 모델하면서 sns스타+대형기획사 연습생도 하고 최고의 10대를 보내는데 뚱뚱한 박형석은 누구한테나 처맞고 다니고 현재는 노숙자다 뚱뚱하고 키작고 못생기면 노숙자or범죄자가 되고 잘생기고 키크면 아무리 양아치라도 미화되고 최고의 인생을 산다 이게 이 웹툰의 취지임
2	세상에 하나뿐인 내편에 돌을던지고.. 이 말이 참 너무 슬프네요
2	박태준 작가님은 아보키 브랜드웹툰 보세왕에 나오셨던 분이고 우리가 아는 그 얼짱 박태준이 맞습니다. 작가님 베도때부터 이미 업로드한 화에 분량을 추가 하실정도로 정말 작업 성실히 하셨으니 앞으로도 쭉 좋은 결과 있으실 거에요!!!!!!!!!!!
2	진짜 어머니들의 마음입니다 여러분들 ㅠㅠㅠㅠㅠㅠ너무슬프네요 진짜 더상황에서 페북에올린다는 여자들은뭐죠...
2	진짜 길거리에서 싸움난거 숨어서 찍고 페북에 올려서 그거 가지고 또 옆에 광고다는 놈들은 핵노답임
2	분량봐....개쩐다
2	박태준 만화가, 쇼핑몰대표 출생1984년 9월 3일 소속그룹꽃미남 주식회사 소속아보키스트(대표) 신체177cm, 60kg 수상2012년 BNT Fashion Brand Award 베스트 모델상 예전엔 남자 얼짱 하면 박태준이었지만 이젠 웹툰작가 하면 박태준작가님이 되길 바랄게요 항상응원하겠습니다!
2	베도때 부터 본사람들을 위해 분량을 많이 올려주신 작가님께 박수
2	엄마 어떻게 ㅠㅠ이 웹툰 울면서 봄
2	얘들아 레드카펫깔자 올라가셔야지
2	예쁜사랑하렴ㅋㅋㅋㅋㅋㅋㅋㅋ
2	와칼업뎃
2	그냥 눌럿는데 업뎃 ㅎㄷㄷ
2	분량쩜
2	고민효에 대해 적은 사람입니다.고민효에 대해 궁금한 분들 얘기해드립니다.고민효는 제가 금모래초에 다닐때 학교에서 절 왕따시키던 애입니다. 어떨때는 창문으로 절몰아서 떨어질뻔도 하고사물함에 제머리를 넣고 문을닫아 목과머리를 다쳤습니다. 또 고민효의 청소구역인 화장실 청소는 대걸레대신 제머리카락,변기솔대신 머리카락으로비비고 걸레빠는 곳에서 걸레가더럽다며 머리를 넣고 제가 나오지못하게 숨도못쉬게하고 코와 입에 비누를 넣어 이상이 생기기도 하였습니다. 제가 머리를자르고 온날엔 대걸레없어서 청소누가하냐며 당장 가발을 사와 대걸레를 만들라며 했습니다.그리고 인간취급조차 받지못했습니다. 지금은 성인이 되어서 고민효를 찾아 만나려고 합니다. 다음주에 만날것입니다.
2	저 보라머리 남자가 엑스트란줄 알았는데외지주 역사상 가장 슬픈 에피소드를 갖고있고 4대크루 싸움 원탑이라고 종건에게 인정받은 남자라는걸 이땐 몰랐지..
3	재 수업시간에 자면 어떻게됨?
3	미친분량...
3	외모 지상주의 말그대로 외모가 바뀌니 보는 시선이 바뀐다
3	베도때 본사람 손
3	1위축하드려용~~~~♥♥-
3	금요웹툰 조회수 1등.. 역시 대단하시네요! 앞으로도 잘 부탁드려요!
3	태준이형 존경하게 되네..진짜 사회생활 하면서 업계 하나에서 성공하고 다른 일에 손대기 쉽지않은데 이렇게 웹툰 작가로 성공한게 정말 대단하다고 느껴진다. 젊은 사람치고 열정이 있는거 같아서 같은 남자로써 조금은 호감이다
3	작가님 그림그릴때 거울보고 그리셨겠지..ㅋㅋㅋㅋ
3	이거 할 시간에 배송좀해줘 3일째 입금완료라고만 뜨잖아
3	아 베댓 칸 다찻네 못올라가겟지만 그냥 씀.. 고객센터 지난 2주일동안 몇십통 전화해도 안받아서 하도 답답해가지고 여기다 올린거고요, 아이디 아보키랑 같게해서 베댓 올라가고 방금 모르는번호로 전화와서 받앗더니 아보키 대표 박태준이네요. 늦은시간에 죄송하고 댓글보고 아보키에서 검색해서 전화드렸다고 배송문제 사과 받았고 내일 바로 담당자가 사과하고 발송한답니다. 한 10분정도 통화하고 훈훈하게 마무리했습니다. 만화하면서 인지도 높아지고 판매량 늘텐데 빨리 대책 마련하셔서 더 번창하길 바랄게요 직접 전화주셔서 감사합니다 박태준씨 화 다풀렸어요 ㅋㅋㅋㅋㅋ
3	그림체도진짜마음에들고 무엇보다 분량이겁나게길다는게 마음에듭니다. 앞으로도쭉 1위행진이어가시길바랍니다 ㅣ ㅣ ㅣ ㅣ 1위축하드려요! ㅣ ㅣ ㅣ ㅣ ㅣ ㅣ ㅣ ㅣ ㅣ ㅣ
3	1위 축하드리고 핸드폰으로 직접 한겁니다~~ ◆◆ ♪ ◇◇◆◆ ◇◇ ◆◆ ♪ ◆◆ ♬ ◆◆ ♩ ◆◆ ♬ ▣▣▣▣▣▣▣▣▣▣
3	역시 외모는 모든 것을 바꾼다
3	슬범이 떡밥 여기나오넼ㅋㅋ
3	저런 몸이 눈꺼매져서 헤드들 패고다닐지 누가알았겠어..
4	분량줄일거라면서요...하... 이렇게 분량 많다고 좋아할거라고 생각하시면 크나큰 오예입니다
4	베도때부터봐서 저여자애머리바뀐줄안다 손
4	하늘이많이커졋내요..아물론키가요
4	중간에 코트입은거 정준영닮았다
4	박형석 박태준작가친구아님..???얼짱둘다
4	숑물 문의 여기에 하지 마라
4	이것만기다렷다 손
